,Dataset,"[n_clusters,linkage]",f1 score,Adjusted Random Score,Silhouette Score,Execution Time
46,Iris,"[13, 'average']",0.4407894736842106,0.5513039474625677,0.2995245707324635,0.006979465484619141
47,Iris,"[13, 'single']",0.23167438271604937,0.515442387033721,0.11188632228763572,0.004987239837646484
48,Iris,"[14, 'ward']",0.09195402298850576,0.2945387577431776,0.31241315904006917,0.006982326507568359
49,Iris,"[14, 'complete']",0.0273972602739726,0.2938200204787491,0.28461151084357944,0.006979942321777344
50,Iris,"[14, 'average']",0.0,0.4225085993895645,0.29789570681679345,0.0029921531677246094
51,Iris,"[14, 'single']",0.04938271604938271,0.5127055836297204,0.1138303133947165,0.003992557525634766
52,Iris,"[15, 'ward']",0.4446831310712803,0.2937274451550095,0.31831616330398743,0.006981849670410156
53,Iris,"[15, 'complete']",0.196551489129694,0.2945739537770126,0.2870992553117088,0.00398707389831543
54,Iris,"[15, 'average']",0.19191919191919193,0.414322416462026,0.2993577210407986,0.003989696502685547
55,Iris,"[15, 'single']",0.5460157126823794,0.5124320733159473,0.11934901669576921,0.00399017333984375
56,Wine,"[2, 'ward']",0.2223429997869702,0.4847385885049859,0.29666794582183303,0.007980823516845703
57,Wine,"[2, 'complete']",0.017994424262904454,0.5499067956270987,0.25652978717971897,0.0069811344146728516
58,Wine,"[2, 'average']",0.17681023720349562,-0.001963001963001963,0.26375348680377736,0.006982564926147461
59,Wine,"[2, 'single']",0.17681023720349562,-0.001963001963001963,0.26375348680377736,0.00997304916381836
60,Wine,"[3, 'ward']",0.023384786816860365,0.9310001175059304,0.2948290632158541,0.0069811344146728516
61,Wine,"[3, 'complete']",0.26098738635699015,0.8101984932408013,0.27361994708059667,0.006984233856201172
62,Wine,"[3, 'average']",0.17751547268042603,-0.00381934509398756,0.13635405770871056,0.0069811344146728516
63,Wine,"[3, 'single']",0.17751547268042603,-0.00381934509398756,0.1486578714668445,0.009973764419555664
64,Wine,"[4, 'ward']",0.30000960338038996,0.7697432844874517,0.24870332075467344,0.006980180740356445
65,Wine,"[4, 'complete']",0.9348940980708089,0.8214459503186963,0.24582324970467156,0.006979703903198242
66,Wine,"[4, 'average']",0.24707052642898966,0.454402932137837,0.24769038725373868,0.00598597526550293
67,Wine,"[4, 'single']",0.20092908677759508,-0.00833643249031321,0.09449224484405491,0.006978273391723633
68,Wine,"[5, 'ward']",0.22037520064205457,0.6837934061868676,0.20415379209163975,0.0069789886474609375
69,Wine,"[5, 'complete']",0.3686584950629895,0.8274459434292951,0.23142821786994106,0.006981372833251953
70,Wine,"[5, 'average']",0.2506722539337992,0.4457884413763676,0.2159801956212765,0.010971307754516602
71,Wine,"[5, 'single']",0.20165890390609492,-0.009744057780847176,0.053879684319559466,0.01595902442932129
72,Wine,"[6, 'ward']",0.20774812734082396,0.6550927069671628,0.20778664056084103,0.00797891616821289
73,Wine,"[6, 'complete']",0.048057398131853266,0.8157602765854675,0.23254384858920182,0.006982326507568359
74,Wine,"[6, 'average']",0.24316529471850026,0.4362944540852922,0.20669788728313446,0.006981611251831055
75,Wine,"[6, 'single']",0.2023950672704947,-0.011035018514226185,-0.0031760694603877627,0.005984306335449219
76,Wine,"[7, 'ward']",0.2275368243054391,0.6168656910591218,0.20489140267307712,0.0069806575775146484
77,Wine,"[7, 'complete']",0.048057398131853266,0.7267324778207169,0.22626162886161535,0.006980180740356445
78,Wine,"[7, 'average']",0.25619398468541954,0.4235592138503216,0.1807258274406859,0.007977962493896484
79,Wine,"[7, 'single']",0.2031376600092561,-0.012207245585182913,-0.012597650505508137,0.00897526741027832
80,Wine,"[8, 'ward']",0.0,0.6160946442241525,0.21101352799324494,0.006982088088989258
81,Wine,"[8, 'complete']",0.3052271617000488,0.6822544605125658,0.22102823706038713,0.006980419158935547
82,Wine,"[8, 'average']",0.3482254324950954,0.7916269297782439,0.26723779702134354,0.006982326507568359
